hid,lat,lng,place,tier,airport,landmarks,bar,hospital,food,atm,market_place,bus_station,movie_theatre,train_station,spa_gym,offices,
10225,20.0051651,73.78343964,Nashik,2,No,1.696512649,1.015203026,1.212437701,0.72304916,0.487545613,0.722400523,0.650787343,0.331773369,6.489618902,1.203536463,1.117338903,
10226,31.10704613,77.1785202,Shimla,3,Yes,1.14143497,0.480422227,0.715983422,0.471204202,0.570861066,0.45339855,0.433685892,0.36963626,3.112233642,2.627808823,0.551820924,
10227,20.00126648,73.78585815,Nashik,2,No,1.572281804,1.273525862,0.975536218,0.750748551,0.422377079,0.508656073,0.590193686,0.483355901,6.201762678,1.077787013,0.847744849,
10228,10.2380352,77.48896027,Kodaikanal,3,No,0.735183695,1.066898962,0.848694605,0.244656513,0.584265144,0.606711194,0.956530962,0.710095567,0,0.723182615,0.122346238,
10229,12.98153019,77.60488129,Bangalore,1,Yes,0.764047662,0.713255487,1.637640414,0.822233988,0.796130384,0.743950776,1.327123948,1.290429316,3.95229789,1.045370372,1.69906962,
10230,13.62626457,79.42702484,Tirupati,2,Yes,1.462406563,0.63241687,1.067023896,0.438176951,0.527455806,0.714942888,0.767132132,0.395073904,6.574968972,0.962271406,2.270322084,
10231,13.62687492,79.42802429,Tirupati,2,Yes,1.482426441,0.564451005,1.052363238,0.364831096,0.527923079,0.693450787,0.746162487,0.419152668,6.515885611,1.001219582,2.278461662,
10233,11.66495609,92.7318573,Port Blair,3,Yes,0.406891144,3.020865483,1.01034042,0.398625713,0.814838337,0.937257326,0.881091702,3.067922742,0,4.112076976,0.905093562,
10234,17.68688393,83.21850586,Visakhapatnam,2,Yes,7.185323947,0.613254575,0.007932566,0.006976012,0.650240518,0.007932566,0.668754082,0.007932566,6.89332807,0.007932566,0.438264552,
10235,10.31013203,77.52114105,Kodaikanal,3,No,8.145759387,0,0,3.50027598,0,0,0,0,0,0,8.832982999,
